sales_plan__cpt__customer__code,sales_plan__cpt__customer__name,sales_plan__cpt__customer__sales_channel__name,product__code,product__name,quantity,sales_plan__period,sales_plan__period__month
100011,Customer 1,Sales Channel 1,70001,Liver Pate 50G,308.86,2020-01-01,1
100011,Customer 1,Sales Channel 1,70002,Ham Pate 50G,354.99,2020-01-01,1
100011,Customer 1,Sales Channel 1,70003,Cajna Pate 50G,257.20,2020-01-01,1
100011,Customer 1,Sales Channel 1,70004,Chicken Pate 50G,335.45,2020-01-01,1
100011,Customer 1,Sales Channel 1,70005,Tuna Pate 50G,364.20,2020-01-01,1
100011,Customer 1,Sales Channel 1,70006,Fish Pate 50G,350.37,2020-01-01,1
100011,Customer 1,Sales Channel 1,70007,Chili Pate 50G,367.15,2020-01-01,1
100011,Customer 1,Sales Channel 1,70008,Liver Pate 75G,300.51,2020-01-01,1
100011,Customer 1,Sales Channel 1,70009,Ham Pate 75G,272.54,2020-01-01,1
100011,Customer 1,Sales Channel 1,70010,Cajna Pate 75G,294.41,2020-01-01,1
100011,Customer 1,Sales Channel 1,70011,Chicken Pate 75G,274.62,2020-01-01,1
100011,Customer 1,Sales Channel 1,70012,Tuna Pate 75G,351.10,2020-01-01,1
100011,Customer 1,Sales Channel 1,70013,Fish Pate 75G,287.84,2020-01-01,1
100011,Customer 1,Sales Channel 1,70014,Chili Pate 75G,390.58,2020-01-01,1
100011,Customer 1,Sales Channel 1,70041,Spam 100G,248.33,2020-01-01,1
100011,Customer 1,Sales Channel 1,70043,Chicken Spam 100G,328.94,2020-01-01,1
100011,Customer 1,Sales Channel 1,80001,Private Label Liver Pate 50G,332.10,2020-01-01,1
100011,Customer 1,Sales Channel 1,80002,Private Label Ham Pate 50G,234.22,2020-01-01,1
100011,Customer 1,Sales Channel 1,80003,Private Label Cajna Pate 50G,309.55,2020-01-01,1
100011,Customer 1,Sales Channel 1,80004,Private Label Chicken Pate 50G,262.55,2020-01-01,1
100011,Customer 1,Sales Channel 1,80005,Private Label Tuna Pate 50G,333.19,2020-01-01,1
100011,Customer 1,Sales Channel 1,80006,Private Label Fish Pate 50G,340.76,2020-01-01,1
100011,Customer 1,Sales Channel 1,80007,Private Label Chili Pate 50G,281.31,2020-01-01,1
100011,Customer 1,Sales Channel 1,80008,Private Label Liver Pate 75G,343.29,2020-01-01,1
100011,Customer 1,Sales Channel 1,80009,Private Label Ham Pate 75G,313.04,2020-01-01,1
100011,Customer 1,Sales Channel 1,80010,Private Label Cajna Pate 75G,306.51,2020-01-01,1
100011,Customer 1,Sales Channel 1,80011,Private Label Chicken Pate 75G,331.71,2020-01-01,1
100011,Customer 1,Sales Channel 1,80012,Private Label Tuna Pate 75G,271.03,2020-01-01,1
100011,Customer 1,Sales Channel 1,80013,Private Label Fish Pate 75G,357.19,2020-01-01,1
100011,Customer 1,Sales Channel 1,80014,Private Label Chili Pate 75G,291.65,2020-01-01,1
100011,Customer 1,Sales Channel 1,80041,Private Label Spam 100G,345.76,2020-01-01,1
100011,Customer 1,Sales Channel 1,80043,Private Label Chicken Spam 100G,270.97,2020-01-01,1
100011,Customer 1,Sales Channel 1,70015,Liver Pate 95G,205.80,2020-01-01,1
100011,Customer 1,Sales Channel 1,70016,Ham Pate 95G,306.71,2020-01-01,1
100011,Customer 1,Sales Channel 1,70017,Cajna Pate 95G,257.17,2020-01-01,1
100011,Customer 1,Sales Channel 1,70018,Chicken Pate 95G,179.12,2020-01-01,1
